BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,Datum
6956,10229,2198,2193,265,1037,4733,423,3189,10597,2450,720,6153,1653,834,2122,2021-01-29
7013,10344,2238,2263,266,1066,4786,443,3253,10717,2450,731,6254,1705,853,2164,2021-01-30
7039,10379,2268,2282,268,1071,4812,448,3278,10784,2515,736,6288,1712,877,2188,2021-01-31
7063,10394,2278,2291,268,1073,4842,451,3285,10824,2531,737,6289,1712,888,2194,2021-02-01
7181,10496,2295,2361,273,1074,4926,474,3324,10973,2573,743,6367,1773,917,2231,2021-02-02
7227,10767,2328,2449,278,1074,4989,480,3362,11149,2618,752,6469,1809,944,2261,2021-02-03
7275,10895,2376,2507,283,1097,5050,506,3412,11259,2648,760,6560,1860,967,2287,2021-02-04
7341,11023,2420,2539,285,1120,5114,520,3509,11386,2685,766,6659,1922,985,2323,2021-02-05
7403,11096,2454,2622,286,1140,5148,542,3550,11497,2720,775,6739,1956,1006,2352,2021-02-06
7422,11126,2467,2629,286,1143,5165,544,3581,11540,2727,783,6763,1970,1012,2359,2021-02-07
7426,11146,2471,2630,290,1145,5182,552,3596,11565,2732,786,6794,1978,1016,2366,2021-02-08
7509,11226,2486,2668,293,1148,5229,579,3635,11595,2764,787,6816,1990,1038,2393,2021-02-09
7552,11371,2507,2716,301,1158,5296,596,3682,11796,2800,795,6895,2010,1062,2432,2021-02-10
7592,11470,2551,2749,305,1167,5362,603,3716,11895,2826,803,6999,2050,1083,2464,2021-02-11
7675,11547,2574,2760,306,1178,5398,614,3773,11963,2846,805,7044,2068,1101,2539,2021-02-12
